Aux out [V]	Aux in [V]	PDH out [a.u.]
6.4707E-1	8.7599E-1	-2.0700E+2
6.4718E-1	8.7599E-1	-1.5200E+2
6.4730E-1	8.7551E-1	-2.0100E+2
6.4730E-1	8.7478E-1	5.2400E+2
6.4742E-1	8.7429E-1	-3.3300E+2
6.4754E-1	8.7502E-1	-2.2800E+2
6.4754E-1	8.7575E-1	1.5100E+2
6.4765E-1	8.7575E-1	-2.4400E+2
6.4777E-1	8.7599E-1	-1.5300E+2
6.4777E-1	8.7429E-1	2.7700E+2
6.4789E-1	8.7551E-1	-1.7500E+2
6.4801E-1	8.7453E-1	-7.6000E+1
6.4813E-1	8.7429E-1	-1.4400E+2
6.4813E-1	8.7405E-1	6.0000E+0
6.4824E-1	8.7429E-1	-1.8300E+2
6.4836E-1	8.7624E-1	-8.5300E+2
6.4836E-1	8.7575E-1	6.1100E+2
6.4848E-1	8.7453E-1	-3.0900E+2
6.4860E-1	8.7332E-1	-6.1000E+1
6.4860E-1	8.7502E-1	-4.1000E+1
6.4871E-1	8.7429E-1	-1.1600E+2
6.4883E-1	8.7356E-1	2.0700E+2
6.4883E-1	8.7429E-1	-1.3700E+2
6.4895E-1	8.7356E-1	-3.1400E+2
6.4907E-1	8.7308E-1	2.4600E+2
6.4918E-1	8.7405E-1	-2.1700E+2
6.4918E-1	8.7381E-1	-8.2000E+1
6.4930E-1	8.7429E-1	2.7600E+2
6.4942E-1	8.7332E-1	8.0000E+0
6.4942E-1	8.7186E-1	-1.3000E+2
6.4954E-1	8.7283E-1	-5.0000E+1
6.4965E-1	8.7332E-1	-6.2000E+1
6.4965E-1	8.7259E-1	2.2900E+2
6.4977E-1	8.7308E-1	-4.6100E+2
6.4989E-1	8.7211E-1	-6.0000E+0
6.4989E-1	8.7186E-1	-6.7200E+2
6.5001E-1	8.7162E-1	-1.8000E+2
6.5013E-1	8.7283E-1	1.7500E+2
6.5024E-1	8.7089E-1	1.8000E+1
6.5024E-1	8.7308E-1	3.6500E+2
6.5036E-1	8.7186E-1	2.6800E+2
6.5048E-1	8.7211E-1	-1.0000E+2
6.5048E-1	8.7211E-1	4.3000E+1
6.5060E-1	8.7235E-1	1.0700E+2
6.5071E-1	8.7235E-1	-2.0500E+2
6.5071E-1	8.7211E-1	-1.5700E+2
6.5083E-1	8.7211E-1	1.8000E+2
6.5095E-1	8.7235E-1	1.0000E+1
6.5107E-1	8.7186E-1	-3.6000E+2
6.5107E-1	8.7113E-1	-3.0800E+2
6.5118E-1	8.7016E-1	1.0500E+2
6.5130E-1	8.7186E-1	-3.3600E+2
6.5130E-1	8.7065E-1	-2.9000E+1
6.5142E-1	8.7162E-1	-9.0500E+2
6.5154E-1	8.6992E-1	1.4600E+2
6.5154E-1	8.7332E-1	-2.8000E+2
6.5165E-1	8.7089E-1	2.4300E+2
6.5177E-1	8.7040E-1	-2.9100E+2
6.5189E-1	8.7089E-1	-3.2700E+2
6.5189E-1	8.6943E-1	-5.7700E+2
6.5201E-1	8.6968E-1	-3.0000E+2
6.5213E-1	8.6943E-1	-2.7500E+2
6.5213E-1	8.6968E-1	2.0600E+2
6.5224E-1	8.7113E-1	-2.4900E+2
6.5236E-1	8.7016E-1	6.0000E+1
6.5236E-1	8.7065E-1	-2.6000E+2
6.5248E-1	8.6846E-1	-2.1600E+2
6.5260E-1	8.6992E-1	-4.1100E+2
6.5271E-1	8.7016E-1	-6.2100E+2
6.5271E-1	8.7040E-1	1.4600E+2
6.5283E-1	8.7016E-1	1.3300E+2
6.5295E-1	8.6895E-1	-2.4600E+2
6.5295E-1	8.6822E-1	3.4700E+2
6.5307E-1	8.6919E-1	-4.5200E+2
6.5318E-1	8.6846E-1	-6.1000E+2
6.5318E-1	8.6943E-1	-2.3500E+2
6.5330E-1	8.6870E-1	-7.9700E+2
6.5342E-1	8.6870E-1	-5.4400E+2
6.5342E-1	8.6822E-1	-1.6300E+2
6.5354E-1	8.6749E-1	-1.2100E+2
6.5366E-1	8.6870E-1	8.6000E+1
6.5377E-1	8.6943E-1	6.9000E+1
6.5377E-1	8.6895E-1	-3.4900E+2
6.5389E-1	8.6798E-1	-1.1600E+2
6.5401E-1	8.6846E-1	1.3500E+2
6.5401E-1	8.6725E-1	-6.8000E+1
6.5413E-1	8.6700E-1	-1.7000E+1
6.5424E-1	8.6725E-1	-3.0000E+2
6.5424E-1	8.6846E-1	-1.5100E+2
6.5436E-1	8.6822E-1	8.6000E+1
6.5448E-1	8.6895E-1	-2.0800E+2
6.5448E-1	8.6822E-1	-4.5900E+2
