Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.0430E-1	5.5192E-1	8.1200E+2
-3.0418E-1	5.5313E-1	1.4100E+2
-3.0418E-1	5.5459E-1	7.8200E+2
-3.0406E-1	5.5313E-1	3.1800E+2
-3.0406E-1	5.5168E-1	6.0900E+2
-3.0395E-1	5.5265E-1	4.1100E+2
-3.0395E-1	5.5095E-1	1.0680E+3
-3.0383E-1	5.5265E-1	1.2080E+3
-3.0383E-1	5.5143E-1	6.6000E+2
-3.0371E-1	5.5046E-1	5.0600E+2
-3.0371E-1	5.4998E-1	8.5500E+2
-3.0359E-1	5.5192E-1	5.4700E+2
-3.0359E-1	5.4949E-1	9.3300E+2
-3.0348E-1	5.5022E-1	3.4100E+2
-3.0348E-1	5.4925E-1	5.3900E+2
-3.0336E-1	5.4779E-1	3.8300E+2
-3.0336E-1	5.4852E-1	7.1000E+2
-3.0324E-1	5.4730E-1	8.3700E+2
-3.0324E-1	5.4682E-1	9.3400E+2
-3.0312E-1	5.4730E-1	4.6900E+2
-3.0312E-1	5.4633E-1	3.7500E+2
-3.0300E-1	5.4585E-1	3.5200E+2
-3.0300E-1	5.4755E-1	7.0900E+2
-3.0289E-1	5.4706E-1	3.9600E+2
-3.0289E-1	5.4633E-1	8.7000E+2
-3.0277E-1	5.4390E-1	5.8900E+2
-3.0277E-1	5.4536E-1	-1.0400E+2
-3.0265E-1	5.4512E-1	1.0040E+3
-3.0265E-1	5.4317E-1	1.1660E+3
-3.0253E-1	5.4415E-1	2.1000E+1
-3.0253E-1	5.4487E-1	6.2500E+2
-3.0242E-1	5.4463E-1	6.1500E+2
-3.0230E-1	5.4123E-1	7.8800E+2
-3.0230E-1	5.4342E-1	8.8800E+2
-3.0218E-1	5.4123E-1	2.4100E+2
-3.0218E-1	5.4245E-1	3.4600E+2
-3.0206E-1	5.4099E-1	5.9900E+2
-3.0206E-1	5.4123E-1	-8.4000E+1
-3.0195E-1	5.4172E-1	8.8100E+2
-3.0195E-1	5.4147E-1	6.1700E+2
-3.0183E-1	5.4099E-1	7.7000E+2
-3.0183E-1	5.4002E-1	7.9000E+2
-3.0171E-1	5.4050E-1	8.7500E+2
-3.0171E-1	5.3904E-1	8.4700E+2
-3.0159E-1	5.3904E-1	6.9100E+2
-3.0159E-1	5.3856E-1	1.1090E+3
-3.0148E-1	5.3832E-1	5.4300E+2
-3.0148E-1	5.4002E-1	5.4200E+2
-3.0136E-1	5.3904E-1	4.4800E+2
-3.0136E-1	5.3540E-1	4.0600E+2
-3.0124E-1	5.3637E-1	1.1510E+3
-3.0124E-1	5.3637E-1	1.0300E+2
-3.0112E-1	5.3661E-1	8.7900E+2
-3.0112E-1	5.3613E-1	4.4000E+1
-3.0100E-1	5.3661E-1	5.8900E+2
-3.0100E-1	5.3516E-1	1.0860E+3
-3.0089E-1	5.3564E-1	7.7600E+2
-3.0089E-1	5.3346E-1	7.1100E+2
-3.0077E-1	5.3419E-1	6.5400E+2
-3.0077E-1	5.3394E-1	6.6000E+1
-3.0065E-1	5.3443E-1	7.4500E+2
-3.0065E-1	5.3321E-1	8.5300E+2
-3.0053E-1	5.3297E-1	5.0200E+2
-3.0042E-1	5.3321E-1	2.0300E+2
-3.0042E-1	5.3297E-1	1.1130E+3
-3.0030E-1	5.3321E-1	7.1400E+2
-3.0030E-1	5.3030E-1	3.4300E+2
-3.0018E-1	5.3297E-1	5.4600E+2
-3.0018E-1	5.3370E-1	5.6700E+2
-3.0006E-1	5.3346E-1	2.8600E+2
-3.0006E-1	5.3078E-1	3.8200E+2
-2.9995E-1	5.3273E-1	3.7500E+2
-2.9995E-1	5.3200E-1	5.5300E+2
-2.9983E-1	5.3030E-1	3.2800E+2
-2.9983E-1	5.2908E-1	1.9300E+2
-2.9971E-1	5.3127E-1	5.6900E+2
-2.9971E-1	5.2981E-1	6.1900E+2
-2.9959E-1	5.2787E-1	3.0800E+2
-2.9959E-1	5.2787E-1	4.4000E+1
-2.9948E-1	5.2884E-1	6.8200E+2
-2.9948E-1	5.2811E-1	3.0900E+2
-2.9936E-1	5.2884E-1	4.7100E+2
-2.9936E-1	5.2860E-1	7.1900E+2
-2.9924E-1	5.2690E-1	2.7000E+2
-2.9924E-1	5.2665E-1	6.1800E+2
-2.9912E-1	5.2641E-1	1.8000E+2
-2.9912E-1	5.2568E-1	6.1300E+2
-2.9900E-1	5.2593E-1	1.9000E+2
-2.9900E-1	5.2447E-1	-9.5000E+1
-2.9889E-1	5.2714E-1	1.5800E+2
-2.9889E-1	5.2568E-1	7.4300E+2
-2.9877E-1	5.2520E-1	5.1200E+2
-2.9877E-1	5.2568E-1	-1.3300E+2
-2.9865E-1	5.2471E-1	1.9000E+1
-2.9853E-1	5.2325E-1	4.8600E+2
-2.9853E-1	5.2398E-1	4.9900E+2
-2.9842E-1	5.2520E-1	5.0600E+2
-2.9842E-1	5.2447E-1	3.9000E+2
-2.9830E-1	5.2350E-1	7.0500E+2
-2.9830E-1	5.2325E-1	9.0000E+1
-2.9818E-1	5.2374E-1	6.6600E+2
-2.9818E-1	5.2423E-1	2.2300E+2
-2.9806E-1	5.2252E-1	2.0900E+2
-2.9806E-1	5.2398E-1	-1.7400E+2
-2.9795E-1	5.2204E-1	4.3800E+2
-2.9795E-1	5.2398E-1	2.4000E+1
-2.9783E-1	5.2252E-1	5.5900E+2
-2.9783E-1	5.2204E-1	4.7700E+2
-2.9771E-1	5.2180E-1	8.3600E+2
-2.9771E-1	5.2277E-1	3.0900E+2
-2.9759E-1	5.2180E-1	-8.5000E+1
-2.9759E-1	5.2010E-1	7.4700E+2
-2.9747E-1	5.2010E-1	3.9300E+2
-2.9747E-1	5.2107E-1	2.8000E+1
-2.9736E-1	5.2252E-1	5.4200E+2
-2.9736E-1	5.2228E-1	-3.3300E+2
-2.9724E-1	5.1791E-1	8.4000E+1
-2.9724E-1	5.1937E-1	-1.3000E+1
-2.9712E-1	5.2034E-1	3.3900E+2
-2.9712E-1	5.1961E-1	2.6000E+2
-2.9700E-1	5.2350E-1	-9.0000E+0
-2.9700E-1	5.2131E-1	-3.5100E+2
-2.9689E-1	5.1985E-1	1.0000E+1
-2.9689E-1	5.1961E-1	7.0700E+2
-2.9677E-1	5.1937E-1	5.7200E+2
-2.9665E-1	5.2058E-1	3.8200E+2
-2.9665E-1	5.1839E-1	5.5300E+2
-2.9653E-1	5.2010E-1	-1.5100E+2
-2.9653E-1	5.1742E-1	1.3900E+2
-2.9642E-1	5.1815E-1	1.3400E+2
-2.9642E-1	5.1669E-1	-9.5000E+1
-2.9630E-1	5.1767E-1	7.7000E+1
-2.9630E-1	5.1912E-1	6.3300E+2
-2.9618E-1	5.1815E-1	2.1300E+2
-2.9618E-1	5.1742E-1	2.1300E+2
-2.9606E-1	5.1645E-1	3.7200E+2
-2.9606E-1	5.1767E-1	4.7700E+2
-2.9595E-1	5.1572E-1	4.2300E+2
-2.9595E-1	5.1694E-1	5.3800E+2
-2.9583E-1	5.1767E-1	3.8100E+2
