Aux out [V]	Aux in [V]	PDH out [a.u.]
-6.9103E-1	1.0825E+0	-7.0700E+2
-6.9068E-1	1.0835E+0	-5.9800E+2
-6.9033E-1	1.0820E+0	-3.9500E+2
-6.8997E-1	1.0818E+0	-1.6300E+2
-6.8962E-1	1.0822E+0	-7.9200E+2
-6.8927E-1	1.0822E+0	-3.2100E+2
-6.8892E-1	1.0827E+0	-4.6900E+2
-6.8856E-1	1.0822E+0	-9.2500E+2
-6.8833E-1	1.0818E+0	-7.6600E+2
-6.8797E-1	1.0808E+0	-7.1000E+2
-6.8762E-1	1.0810E+0	-7.4500E+2
-6.8727E-1	1.0818E+0	-7.4400E+2
-6.8692E-1	1.0805E+0	1.7400E+2
-6.8656E-1	1.0805E+0	-2.4200E+2
-6.8621E-1	1.0813E+0	-9.4400E+2
-6.8586E-1	1.0815E+0	-3.0100E+2
-6.8550E-1	1.0810E+0	-5.0200E+2
-6.8515E-1	1.0820E+0	-6.4800E+2
-6.8492E-1	1.0805E+0	-2.0600E+2
-6.8456E-1	1.0820E+0	-8.4400E+2
-6.8421E-1	1.0813E+0	-5.0800E+2
-6.8386E-1	1.0818E+0	-1.7700E+2
-6.8350E-1	1.0805E+0	-8.4000E+1
-6.8315E-1	1.0822E+0	-4.9800E+2
-6.8280E-1	1.0813E+0	-5.4100E+2
-6.8244E-1	1.0818E+0	-1.4600E+2
-6.8209E-1	1.0803E+0	-8.2500E+2
-6.8186E-1	1.0815E+0	-6.9800E+2
-6.8150E-1	1.0820E+0	-2.8000E+2
-6.8115E-1	1.0827E+0	-7.8300E+2
-6.8080E-1	1.0801E+0	-1.0650E+3
-6.8044E-1	1.0810E+0	-4.1700E+2
-6.8009E-1	1.0822E+0	-4.3000E+1
-6.7974E-1	1.0815E+0	-8.7700E+2
-6.7939E-1	1.0813E+0	-3.3600E+2
-6.7915E-1	1.0808E+0	-1.1520E+3
-6.7868E-1	1.0813E+0	-8.1700E+2
-6.7844E-1	1.0810E+0	-6.8800E+2
-6.7809E-1	1.0801E+0	1.2000E+2
-6.7774E-1	1.0805E+0	-1.3660E+3
-6.7739E-1	1.0798E+0	-2.1600E+2
