Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.7620E-1	1.0055E+0	-2.7400E+2
-5.7608E-1	1.0060E+0	5.3000E+1
-5.7597E-1	1.0047E+0	-8.1900E+2
-5.7585E-1	1.0052E+0	-1.7800E+2
-5.7573E-1	1.0057E+0	-1.6800E+2
-5.7550E-1	1.0038E+0	2.7800E+2
-5.7538E-1	1.0050E+0	-4.3600E+2
-5.7526E-1	1.0047E+0	-3.8000E+2
-5.7514E-1	1.0052E+0	-1.3500E+2
-5.7503E-1	1.0030E+0	-1.7000E+1
-5.7491E-1	1.0040E+0	-3.3000E+2
-5.7479E-1	1.0033E+0	-4.5600E+2
-5.7467E-1	1.0035E+0	2.6100E+2
-5.7455E-1	1.0033E+0	-2.4000E+1
-5.7432E-1	1.0023E+0	-2.8000E+1
-5.7420E-1	1.0033E+0	2.7400E+2
-5.7408E-1	1.0009E+0	-1.5300E+2
-5.7397E-1	1.0001E+0	-3.8500E+2
-5.7385E-1	1.0013E+0	-3.1800E+2
-5.7373E-1	1.0009E+0	-1.6000E+1
-5.7361E-1	1.0016E+0	-2.3400E+2
-5.7350E-1	9.9989E-1	-1.7200E+2
-5.7326E-1	1.0004E+0	4.8600E+2
-5.7314E-1	1.0016E+0	1.5100E+2
-5.7302E-1	9.9989E-1	-2.3900E+2
-5.7291E-1	9.9746E-1	-1.8300E+2
-5.7279E-1	9.9940E-1	3.7200E+2
-5.7267E-1	9.9940E-1	-1.1100E+2
-5.7255E-1	9.9892E-1	2.1200E+2
-5.7244E-1	9.9940E-1	-2.0000E+2
-5.7232E-1	9.9867E-1	-1.2000E+1
-5.7208E-1	9.9892E-1	-3.6100E+2
-5.7197E-1	9.9892E-1	-8.5700E+2
-5.7185E-1	9.9746E-1	-3.6600E+2
-5.7173E-1	9.9843E-1	3.2800E+2
-5.7161E-1	9.9770E-1	-5.2500E+2
-5.7150E-1	9.9673E-1	4.8000E+1
-5.7138E-1	9.9600E-1	-5.7000E+2
-5.7126E-1	9.9770E-1	1.1800E+2
-5.7114E-1	9.9770E-1	3.6000E+2
-5.7102E-1	9.9624E-1	-1.3100E+2
-5.7079E-1	9.9552E-1	-2.2600E+2
-5.7067E-1	9.9552E-1	-1.6700E+2
-5.7055E-1	9.9552E-1	-5.8200E+2
-5.7044E-1	9.9430E-1	-4.7300E+2
-5.7032E-1	9.9479E-1	-4.4500E+2
-5.7020E-1	9.9552E-1	-1.2000E+2
-5.7008E-1	9.9503E-1	-2.0300E+2
-5.6997E-1	9.9406E-1	-5.1800E+2
-5.6985E-1	9.9309E-1	-2.4600E+2
-5.6961E-1	9.9479E-1	2.7000E+1
-5.6950E-1	9.9479E-1	-5.7700E+2
-5.6938E-1	9.9333E-1	9.2000E+1
-5.6926E-1	9.9357E-1	-2.9100E+2
-5.6914E-1	9.9309E-1	-4.5100E+2
-5.6902E-1	9.9309E-1	-6.8200E+2
-5.6891E-1	9.9211E-1	-8.7000E+1
-5.6879E-1	9.9090E-1	1.8700E+2
-5.6855E-1	9.9187E-1	-1.0700E+2
-5.6844E-1	9.9163E-1	-3.2000E+2
-5.6832E-1	9.9041E-1	3.5100E+2
-5.6820E-1	9.9163E-1	3.0200E+2
-5.6808E-1	9.9066E-1	-3.7300E+2
-5.6797E-1	9.9041E-1	-1.8800E+2
-5.6785E-1	9.8968E-1	-4.0000E+1
-5.6773E-1	9.9187E-1	-6.0600E+2
-5.6761E-1	9.8968E-1	-3.8200E+2
-5.6738E-1	9.8968E-1	1.8100E+2
-5.6726E-1	9.9041E-1	-3.5600E+2
-5.6714E-1	9.8968E-1	2.8000E+2
-5.6702E-1	9.8968E-1	6.0000E+0
-5.6691E-1	9.8823E-1	-3.8800E+2
-5.6679E-1	9.8823E-1	-3.2800E+2
-5.6667E-1	9.8677E-1	1.4000E+1
-5.6655E-1	9.8726E-1	-3.7500E+2
-5.6644E-1	9.8653E-1	-1.9800E+2
-5.6632E-1	9.8677E-1	-3.5600E+2
-5.6608E-1	9.8750E-1	-2.3300E+2
-5.6597E-1	9.8458E-1	-5.3100E+2
-5.6585E-1	9.8458E-1	-5.3300E+2
-5.6573E-1	9.8701E-1	0.0000E+0
-5.6561E-1	9.8750E-1	-6.0400E+2
-5.6549E-1	9.8580E-1	-3.2600E+2
-5.6538E-1	9.8531E-1	2.1000E+1
-5.6526E-1	9.8483E-1	1.7200E+2
-5.6514E-1	9.8458E-1	-4.7300E+2
-5.6491E-1	9.8385E-1	-4.5100E+2
-5.6479E-1	9.8385E-1	1.7800E+2
-5.6467E-1	9.8385E-1	-3.2400E+2
-5.6455E-1	9.8313E-1	-6.1100E+2
-5.6444E-1	9.8361E-1	-1.4800E+2
-5.6432E-1	9.8167E-1	-1.8700E+2
-5.6420E-1	9.8385E-1	-1.4000E+1
-5.6408E-1	9.8240E-1	-7.2800E+2
-5.6385E-1	9.8143E-1	-5.4600E+2
-5.6373E-1	9.8118E-1	1.5400E+2
-5.6361E-1	9.8191E-1	-3.2600E+2
-5.6349E-1	9.8313E-1	-2.2300E+2
