Aux out [V]	Aux in [V]	PDH out [a.u.]
1.1091E-1	1.0237E+0	-8.8500E+2
1.1126E-1	1.0249E+0	-3.5600E+2
1.1150E-1	1.0227E+0	-3.7200E+2
1.1185E-1	1.0213E+0	-1.5800E+2
1.1209E-1	1.0237E+0	-1.0650E+3
1.1244E-1	1.0235E+0	-1.6000E+1
1.1267E-1	1.0227E+0	-5.4600E+2
1.1303E-1	1.0237E+0	-4.1200E+2
1.1326E-1	1.0225E+0	-6.3000E+2
1.1350E-1	1.0222E+0	-1.1100E+3
1.1385E-1	1.0222E+0	-1.4300E+2
1.1420E-1	1.0222E+0	-5.6900E+2
1.1444E-1	1.0225E+0	-7.3300E+2
1.1467E-1	1.0227E+0	-1.6400E+2
1.1503E-1	1.0213E+0	-6.9300E+2
1.1538E-1	1.0227E+0	-6.0000E+1
1.1561E-1	1.0220E+0	-7.0500E+2
1.1585E-1	1.0225E+0	-6.0000E+1
1.1620E-1	1.0227E+0	-6.1600E+2
1.1644E-1	1.0227E+0	-1.0380E+3
1.1679E-1	1.0213E+0	-4.5100E+2
1.1703E-1	1.0218E+0	-2.4900E+2
1.1738E-1	1.0208E+0	-7.4000E+1
1.1761E-1	1.0208E+0	-6.8100E+2
1.1797E-1	1.0210E+0	-6.4000E+2
1.1820E-1	1.0225E+0	-4.2600E+2
1.1856E-1	1.0208E+0	-3.2800E+2
1.1879E-1	1.0205E+0	-5.3300E+2
1.1914E-1	1.0198E+0	-3.8600E+2
1.1938E-1	1.0215E+0	-1.8100E+2
1.1962E-1	1.0208E+0	-6.7100E+2
1.1997E-1	1.0225E+0	-6.8800E+2
1.2020E-1	1.0208E+0	-4.3600E+2
1.2056E-1	1.0193E+0	-2.2100E+2
1.2079E-1	1.0191E+0	-4.9200E+2
1.2114E-1	1.0191E+0	-2.7900E+2
1.2138E-1	1.0208E+0	9.0000E+1
1.2173E-1	1.0198E+0	-6.9900E+2
1.2197E-1	1.0193E+0	-3.3000E+1
1.2232E-1	1.0196E+0	-6.1600E+2
1.2256E-1	1.0205E+0	-3.0000E+2
1.2291E-1	1.0198E+0	-2.5900E+2
1.2314E-1	1.0188E+0	1.1000E+2
1.2350E-1	1.0179E+0	-7.6700E+2
1.2373E-1	1.0169E+0	2.2000E+1
1.2397E-1	1.0181E+0	-2.7200E+2
1.2432E-1	1.0191E+0	-2.8700E+2
1.2467E-1	1.0191E+0	-4.0200E+2
1.2491E-1	1.0186E+0	6.2000E+1
1.2514E-1	1.0184E+0	-6.1300E+2
1.2550E-1	1.0167E+0	-6.4000E+1
1.2585E-1	1.0169E+0	-6.0600E+2
1.2609E-1	1.0174E+0	-9.1700E+2
1.2632E-1	1.0186E+0	-5.6600E+2
1.2667E-1	1.0162E+0	2.8000E+1
1.2691E-1	1.0167E+0	-6.0000E+2
1.2726E-1	1.0167E+0	8.1000E+1
1.2750E-1	1.0176E+0	-1.4400E+2
1.2785E-1	1.0169E+0	-3.7200E+2
1.2809E-1	1.0169E+0	4.0000E+1
1.2844E-1	1.0145E+0	-3.9900E+2
1.2867E-1	1.0149E+0	-7.7800E+2
1.2903E-1	1.0157E+0	-6.2200E+2
1.2926E-1	1.0152E+0	1.1500E+2
1.2962E-1	1.0152E+0	-4.8000E+1
1.2985E-1	1.0154E+0	-2.9200E+2
1.3009E-1	1.0147E+0	-8.3200E+2
1.3044E-1	1.0149E+0	-4.0000E+1
1.3067E-1	1.0135E+0	-2.3900E+2
1.3103E-1	1.0140E+0	-7.4500E+2
1.3126E-1	1.0130E+0	-2.3400E+2
1.3162E-1	1.0142E+0	-6.8200E+2
1.3185E-1	1.0137E+0	-5.4000E+2
1.3220E-1	1.0128E+0	-1.7300E+2
1.3244E-1	1.0123E+0	2.7500E+2
1.3279E-1	1.0123E+0	-1.1600E+2
1.3303E-1	1.0118E+0	-3.1700E+2
1.3338E-1	1.0132E+0	-3.2000E+1
1.3362E-1	1.0125E+0	-3.9600E+2
1.3397E-1	1.0118E+0	-2.5200E+2
1.3420E-1	1.0118E+0	-3.0400E+2
1.3444E-1	1.0111E+0	7.6000E+1
1.3479E-1	1.0106E+0	1.2800E+2
1.3515E-1	1.0113E+0	-1.1500E+2
1.3538E-1	1.0123E+0	-1.7700E+2
1.3562E-1	1.0108E+0	-1.4200E+2
1.3597E-1	1.0098E+0	-4.0300E+2
1.3620E-1	1.0096E+0	-1.0600E+2
1.3656E-1	1.0096E+0	-4.6700E+2
1.3679E-1	1.0098E+0	-1.9600E+2
1.3715E-1	1.0081E+0	-5.0400E+2
1.3738E-1	1.0086E+0	-1.1200E+2
1.3773E-1	1.0077E+0	-1.6100E+2
1.3797E-1	1.0067E+0	-2.3300E+2
1.3832E-1	1.0077E+0	-2.0400E+2
1.3856E-1	1.0079E+0	-6.9600E+2
1.3891E-1	1.0089E+0	-1.6200E+2
1.3915E-1	1.0062E+0	3.5500E+2
1.3950E-1	1.0077E+0	-1.4100E+2
1.3973E-1	1.0055E+0	-8.4900E+2
1.3997E-1	1.0057E+0	-3.7800E+2
1.4032E-1	1.0086E+0	7.1000E+1
1.4056E-1	1.0067E+0	1.0000E+1
1.4091E-1	1.0050E+0	-4.4100E+2
1.4115E-1	1.0060E+0	-2.0600E+2
1.4150E-1	1.0057E+0	-3.3600E+2
