Aux out [V]	Aux in [V]	PDH out [a.u.]
5.2035E-1	9.9090E-1	1.2300E+2
5.2070E-1	9.8993E-1	-3.4200E+2
5.2106E-1	9.8944E-1	-7.2400E+2
5.2141E-1	9.8920E-1	-6.6800E+2
5.2176E-1	9.8968E-1	-1.0240E+3
5.2212E-1	9.8774E-1	-6.4500E+2
5.2247E-1	9.8726E-1	-2.0200E+2
5.2282E-1	9.9139E-1	-6.1100E+2
5.2306E-1	9.8993E-1	-5.3300E+2
5.2341E-1	9.8823E-1	-5.2000E+2
5.2376E-1	9.8896E-1	-3.5000E+2
5.2412E-1	9.9066E-1	6.7000E+1
5.2447E-1	9.8798E-1	-5.6500E+2
5.2482E-1	9.8798E-1	-2.5600E+2
5.2517E-1	9.8920E-1	-3.4000E+2
5.2553E-1	9.8920E-1	-4.3700E+2
5.2588E-1	9.8798E-1	-5.4000E+2
5.2623E-1	9.8798E-1	-3.8700E+2
5.2659E-1	9.8750E-1	-2.1800E+2
5.2682E-1	9.8944E-1	-5.9600E+2
5.2729E-1	9.8944E-1	-5.7000E+2
5.2753E-1	9.8847E-1	-8.9200E+2
5.2788E-1	9.8774E-1	-6.3200E+2
5.2823E-1	9.8993E-1	-2.3900E+2
5.2859E-1	9.8944E-1	-4.6700E+2
5.2894E-1	9.8847E-1	-9.9800E+2
5.2929E-1	9.8920E-1	-8.3600E+2
5.2965E-1	9.8896E-1	-6.9900E+2
5.3000E-1	9.8920E-1	-3.5700E+2
5.3023E-1	9.8798E-1	-4.8900E+2
5.3059E-1	9.8774E-1	-4.7300E+2
5.3094E-1	9.8798E-1	-2.7200E+2
5.3129E-1	9.8968E-1	-1.5300E+2
5.3165E-1	9.8968E-1	-5.9000E+2
5.3200E-1	9.8798E-1	-5.8100E+2
5.3235E-1	9.8701E-1	-8.5000E+2
5.3270E-1	9.8726E-1	-5.7900E+2
5.3306E-1	9.8774E-1	-8.5000E+2
5.3341E-1	9.8701E-1	-7.3800E+2
5.3376E-1	9.8750E-1	-8.0400E+2
5.3400E-1	9.8847E-1	-7.6200E+2
5.3447E-1	9.8944E-1	-9.2700E+2
5.3471E-1	9.8750E-1	-4.2600E+2
5.3506E-1	9.8847E-1	-2.4000E+2
5.3541E-1	9.8896E-1	-3.9100E+2
5.3576E-1	9.8798E-1	-8.6800E+2
5.3612E-1	9.8750E-1	-5.7600E+2
5.3647E-1	9.8701E-1	-4.4900E+2
5.3682E-1	9.8896E-1	-6.8500E+2
5.3718E-1	9.8798E-1	-7.1300E+2
5.3741E-1	9.8871E-1	2.6000E+1
5.3788E-1	9.8750E-1	-7.7300E+2
5.3812E-1	9.8628E-1	-1.3050E+3
5.3847E-1	9.8823E-1	-1.0600E+2
5.3882E-1	9.8726E-1	-7.2000E+1
5.3918E-1	9.8677E-1	-2.7500E+2
