Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.7572E-1	9.8580E-1	-1.3400E+2
-3.7548E-1	9.8628E-1	3.6000E+2
-3.7513E-1	9.8653E-1	8.8000E+1
-3.7477E-1	9.8483E-1	-5.7500E+2
-3.7442E-1	9.8434E-1	-2.5000E+1
-3.7407E-1	9.8434E-1	-5.7500E+2
-3.7383E-1	9.8264E-1	-4.3300E+2
-3.7348E-1	9.8070E-1	-2.3200E+2
-3.7313E-1	9.7997E-1	-1.0100E+2
-3.7277E-1	9.8045E-1	4.1700E+2
-3.7242E-1	9.7875E-1	7.6400E+2
-3.7219E-1	9.7778E-1	1.8600E+2
-3.7183E-1	9.7851E-1	-4.0500E+2
-3.7148E-1	9.7657E-1	3.5500E+2
-3.7113E-1	9.7608E-1	-4.6400E+2
-3.7077E-1	9.7584E-1	5.5600E+2
-3.7042E-1	9.7317E-1	1.7400E+2
-3.7019E-1	9.7122E-1	2.2200E+2
-3.6983E-1	9.7268E-1	7.5000E+1
-3.6948E-1	9.6976E-1	3.7400E+2
-3.6913E-1	9.7098E-1	-1.4400E+2
-3.6877E-1	9.6806E-1	-3.4100E+2
-3.6854E-1	9.6539E-1	-5.5200E+2
-3.6819E-1	9.6515E-1	2.9000E+1
-3.6783E-1	9.6345E-1	5.5000E+2
-3.6748E-1	9.6393E-1	2.2000E+1
-3.6713E-1	9.6272E-1	4.5800E+2
-3.6689E-1	9.6102E-1	1.6000E+1
-3.6642E-1	9.6005E-1	4.7000E+1
-3.6619E-1	9.5932E-1	-1.1500E+2
-3.6583E-1	9.5810E-1	3.5200E+2
-3.6548E-1	9.5665E-1	-3.1000E+1
-3.6524E-1	9.5713E-1	6.3100E+2
-3.6477E-1	9.5470E-1	3.2600E+2
-3.6454E-1	9.5349E-1	6.1000E+2
-3.6419E-1	9.5324E-1	3.6000E+2
-3.6383E-1	9.5106E-1	1.8200E+2
-3.6348E-1	9.5009E-1	5.4600E+2
