Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.4869E-1	1.0771E+0	6.0000E+1
-7.4786E-1	1.0771E+0	-6.6900E+2
-7.4704E-1	1.0767E+0	-6.6300E+2
-7.4633E-1	1.0757E+0	-1.0250E+3
-7.4551E-1	1.0786E+0	-3.8000E+2
-7.4468E-1	1.0771E+0	-8.4300E+2
-7.4386E-1	1.0754E+0	-3.1900E+2
-7.4304E-1	1.0776E+0	-3.2600E+2
-7.4233E-1	1.0774E+0	-1.0380E+3
-7.4151E-1	1.0764E+0	-8.4600E+2
-7.4068E-1	1.0764E+0	-8.5000E+2
-7.3986E-1	1.0757E+0	-3.9600E+2
-7.3904E-1	1.0774E+0	-5.9900E+2
-7.3833E-1	1.0762E+0	-6.3800E+2
-7.3751E-1	1.0762E+0	-8.6100E+2
-7.3668E-1	1.0774E+0	-1.9300E+2
-7.3586E-1	1.0764E+0	-7.8200E+2
-7.3504E-1	1.0762E+0	-2.2000E+2
-7.3433E-1	1.0769E+0	-7.9500E+2
-7.3351E-1	1.0754E+0	-6.8300E+2
-7.3257E-1	1.0759E+0	-1.8800E+2
-7.3186E-1	1.0769E+0	-1.1920E+3
-7.3104E-1	1.0757E+0	-1.0990E+3
-7.3033E-1	1.0771E+0	-2.6000E+2
-7.2951E-1	1.0759E+0	-4.1400E+2
-7.2857E-1	1.0757E+0	-5.6700E+2
-7.2786E-1	1.0774E+0	-5.4500E+2
-7.2704E-1	1.0774E+0	-5.5500E+2
-7.2621E-1	1.0747E+0	-7.2200E+2
-7.2551E-1	1.0771E+0	-1.4390E+3
-7.2468E-1	1.0754E+0	-5.4800E+2
-7.2386E-1	1.0759E+0	-6.0000E+0
-7.2304E-1	1.0771E+0	-5.9500E+2
-7.2221E-1	1.0757E+0	-1.1300E+2
-7.2151E-1	1.0769E+0	-7.3500E+2
-7.2068E-1	1.0750E+0	4.4000E+1
-7.1986E-1	1.0752E+0	-7.5200E+2
-7.1904E-1	1.0759E+0	-6.2100E+2
-7.1821E-1	1.0771E+0	-6.7800E+2
-7.1751E-1	1.0779E+0	-5.7100E+2
-7.1668E-1	1.0747E+0	-6.8900E+2
-7.1586E-1	1.0754E+0	-4.7600E+2
-7.1504E-1	1.0750E+0	-9.6900E+2
-7.1421E-1	1.0771E+0	-3.8200E+2
-7.1351E-1	1.0752E+0	-1.9100E+2
-7.1268E-1	1.0759E+0	-6.9900E+2
-7.1186E-1	1.0747E+0	-7.8400E+2
-7.1104E-1	1.0740E+0	-5.0600E+2
-7.1021E-1	1.0764E+0	-4.9900E+2
-7.0951E-1	1.0750E+0	-1.4100E+2
-7.0868E-1	1.0757E+0	-6.8800E+2
-7.0774E-1	1.0767E+0	-7.1900E+2
-7.0703E-1	1.0762E+0	-7.6400E+2
-7.0621E-1	1.0745E+0	-8.1800E+2
-7.0551E-1	1.0752E+0	-5.2800E+2
-7.0468E-1	1.0745E+0	-7.7700E+2
-7.0386E-1	1.0769E+0	-1.0850E+3
-7.0303E-1	1.0745E+0	-6.5800E+2
-7.0221E-1	1.0752E+0	-4.3600E+2
-7.0139E-1	1.0745E+0	-5.2500E+2
-7.0068E-1	1.0745E+0	-4.5900E+2
-6.9986E-1	1.0750E+0	-6.5600E+2
-6.9903E-1	1.0742E+0	-1.9300E+2
-6.9821E-1	1.0762E+0	5.2000E+1
-6.9739E-1	1.0742E+0	-1.5000E+1
-6.9668E-1	1.0747E+0	-8.4600E+2
-6.9586E-1	1.0754E+0	-5.0200E+2
-6.9503E-1	1.0771E+0	-2.1000E+2
-6.9421E-1	1.0747E+0	-4.2200E+2
-6.9339E-1	1.0754E+0	-7.9200E+2
-6.9268E-1	1.0745E+0	1.3700E+2
-6.9186E-1	1.0728E+0	-8.4800E+2
-6.9103E-1	1.0745E+0	-7.8600E+2
-6.9021E-1	1.0745E+0	-6.5600E+2
-6.8939E-1	1.0750E+0	-1.9400E+2
-6.8868E-1	1.0759E+0	-5.8000E+2
-6.8786E-1	1.0764E+0	-2.8700E+2
-6.8703E-1	1.0745E+0	-5.6500E+2
-6.8621E-1	1.0742E+0	-2.7100E+2
-6.8539E-1	1.0752E+0	-6.4100E+2
-6.8468E-1	1.0730E+0	-7.8200E+2
-6.8386E-1	1.0752E+0	-5.0600E+2
-6.8303E-1	1.0735E+0	-7.2900E+2
-6.8221E-1	1.0730E+0	-3.0400E+2
-6.8139E-1	1.0752E+0	-1.2100E+2
-6.8068E-1	1.0742E+0	-4.0200E+2
-6.7986E-1	1.0742E+0	-4.0000E+2
-6.7903E-1	1.0750E+0	-7.4700E+2
-6.7821E-1	1.0752E+0	-4.8200E+2
-6.7739E-1	1.0723E+0	-4.4300E+2
-6.7656E-1	1.0737E+0	-2.5400E+2
-6.7586E-1	1.0737E+0	-2.7900E+2
-6.7503E-1	1.0733E+0	-8.1400E+2
-6.7421E-1	1.0733E+0	-4.4800E+2
-6.7339E-1	1.0728E+0	-9.9000E+1
-6.7256E-1	1.0720E+0	-6.3500E+2
-6.7186E-1	1.0735E+0	-8.1300E+2
-6.7103E-1	1.0720E+0	-1.1150E+3
-6.7021E-1	1.0723E+0	-4.6000E+2
-6.6939E-1	1.0725E+0	-6.5500E+2
-6.6856E-1	1.0720E+0	-6.9600E+2
-6.6786E-1	1.0725E+0	-3.3600E+2
-6.6703E-1	1.0718E+0	5.0000E+0
-6.6621E-1	1.0716E+0	-2.5800E+2
-6.6538E-1	1.0725E+0	-2.3100E+2
-6.6456E-1	1.0728E+0	9.9000E+1
-6.6386E-1	1.0716E+0	-3.4400E+2
-6.6303E-1	1.0699E+0	-9.5700E+2
-6.6221E-1	1.0720E+0	-3.6200E+2
-6.6138E-1	1.0708E+0	-6.0600E+2
-6.6056E-1	1.0711E+0	-2.7200E+2
-6.5985E-1	1.0699E+0	-6.8900E+2
-6.5903E-1	1.0713E+0	-1.4200E+2
-6.5821E-1	1.0701E+0	-4.8200E+2
-6.5738E-1	1.0694E+0	-1.0300E+2
-6.5656E-1	1.0691E+0	-8.0300E+2
-6.5574E-1	1.0703E+0	-4.4000E+2
-6.5503E-1	1.0694E+0	-1.3900E+2
-6.5421E-1	1.0701E+0	-8.7200E+2
-6.5338E-1	1.0691E+0	-2.4400E+2
-6.5256E-1	1.0684E+0	-4.2500E+2
-6.5174E-1	1.0699E+0	-6.4500E+2
-6.5103E-1	1.0694E+0	-1.8100E+2
-6.5021E-1	1.0684E+0	-1.0310E+3
-6.4938E-1	1.0686E+0	-3.7000E+2
-6.4856E-1	1.0674E+0	-6.3500E+2
-6.4774E-1	1.0674E+0	-4.2600E+2
-6.4703E-1	1.0677E+0	-9.5100E+2
-6.4621E-1	1.0672E+0	-4.5700E+2
-6.4538E-1	1.0672E+0	-5.6000E+2
