Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.2068E-1	1.0815E+0	-3.5600E+2
-7.2009E-1	1.0801E+0	-4.8100E+2
-7.1939E-1	1.0808E+0	-5.0900E+2
-7.1880E-1	1.0805E+0	-6.3900E+2
-7.1821E-1	1.0810E+0	-7.8300E+2
-7.1751E-1	1.0813E+0	-4.5600E+2
-7.1692E-1	1.0808E+0	-7.6000E+2
-7.1621E-1	1.0791E+0	-8.2900E+2
-7.1562E-1	1.0818E+0	-2.5000E+2
-7.1504E-1	1.0801E+0	-1.1010E+3
-7.1433E-1	1.0813E+0	-3.8100E+2
-7.1362E-1	1.0801E+0	-2.9000E+2
-7.1304E-1	1.0801E+0	-5.9400E+2
-7.1245E-1	1.0815E+0	-6.5900E+2
-7.1174E-1	1.0791E+0	-1.6400E+2
-7.1104E-1	1.0796E+0	-9.9800E+2
-7.1045E-1	1.0815E+0	-5.8600E+2
-7.0986E-1	1.0784E+0	-5.5500E+2
-7.0915E-1	1.0805E+0	-3.4300E+2
-7.0856E-1	1.0796E+0	-1.1120E+3
-7.0786E-1	1.0788E+0	2.3500E+2
-7.0727E-1	1.0791E+0	-6.2800E+2
-7.0656E-1	1.0818E+0	-5.6600E+2
-7.0598E-1	1.0793E+0	-8.5500E+2
-7.0539E-1	1.0803E+0	-2.6900E+2
-7.0468E-1	1.0796E+0	-6.9200E+2
-7.0398E-1	1.0796E+0	-1.4600E+2
-7.0339E-1	1.0805E+0	-5.0200E+2
-7.0280E-1	1.0803E+0	-1.2100E+2
-7.0221E-1	1.0793E+0	-4.1300E+2
-7.0151E-1	1.0791E+0	-5.6000E+2
-7.0080E-1	1.0791E+0	-2.7300E+2
-7.0021E-1	1.0786E+0	-3.1500E+2
-6.9962E-1	1.0791E+0	-3.5200E+2
-6.9892E-1	1.0786E+0	-2.3300E+2
-6.9833E-1	1.0786E+0	-1.8000E+2
-6.9762E-1	1.0786E+0	-2.3500E+2
-6.9703E-1	1.0801E+0	-4.7100E+2
-6.9633E-1	1.0793E+0	-2.4100E+2
-6.9574E-1	1.0786E+0	1.5000E+2
-6.9515E-1	1.0784E+0	-8.0600E+2
-6.9445E-1	1.0776E+0	-5.1000E+1
-6.9374E-1	1.0769E+0	-8.3000E+2
-6.9315E-1	1.0781E+0	-1.0000E+1
-6.9256E-1	1.0771E+0	-3.1600E+2
-6.9186E-1	1.0781E+0	-7.6100E+2
-6.9115E-1	1.0771E+0	-4.1900E+2
-6.9056E-1	1.0774E+0	-7.9900E+2
-6.8997E-1	1.0771E+0	-6.7000E+2
-6.8939E-1	1.0774E+0	-1.2100E+2
-6.8868E-1	1.0771E+0	-6.1100E+2
-6.8797E-1	1.0784E+0	-7.3700E+2
-6.8739E-1	1.0759E+0	-2.9300E+2
-6.8680E-1	1.0779E+0	2.0000E+1
-6.8609E-1	1.0762E+0	-5.1200E+2
-6.8550E-1	1.0762E+0	-5.1900E+2
-6.8492E-1	1.0747E+0	-8.8500E+2
-6.8421E-1	1.0769E+0	-4.5300E+2
-6.8350E-1	1.0759E+0	-2.1500E+2
-6.8292E-1	1.0742E+0	-2.5300E+2
-6.8233E-1	1.0747E+0	-5.5600E+2
-6.8162E-1	1.0754E+0	-1.8500E+2
-6.8092E-1	1.0742E+0	-8.9700E+2
-6.8033E-1	1.0747E+0	-1.3200E+2
-6.7974E-1	1.0754E+0	-4.0400E+2
-6.7903E-1	1.0745E+0	-9.3300E+2
-6.7844E-1	1.0757E+0	-1.5700E+2
-6.7774E-1	1.0750E+0	-2.9400E+2
-6.7715E-1	1.0747E+0	-1.6900E+2
-6.7644E-1	1.0742E+0	-2.3500E+2
-6.7586E-1	1.0735E+0	-4.5400E+2
-6.7527E-1	1.0728E+0	-3.9100E+2
-6.7456E-1	1.0742E+0	1.0400E+2
-6.7397E-1	1.0723E+0	-3.4200E+2
-6.7327E-1	1.0725E+0	-1.1390E+3
-6.7268E-1	1.0718E+0	-1.0170E+3
-6.7209E-1	1.0725E+0	1.8500E+2
-6.7139E-1	1.0737E+0	-6.3500E+2
-6.7068E-1	1.0728E+0	-8.0900E+2
-6.7009E-1	1.0708E+0	-1.9100E+2
-6.6950E-1	1.0703E+0	-2.8000E+2
-6.6880E-1	1.0696E+0	-4.7200E+2
-6.6821E-1	1.0711E+0	-5.5600E+2
-6.6750E-1	1.0696E+0	-6.6200E+2
-6.6691E-1	1.0711E+0	-6.5200E+2
-6.6621E-1	1.0696E+0	-8.6800E+2
-6.6562E-1	1.0691E+0	5.7000E+1
-6.6503E-1	1.0694E+0	-1.5200E+2
-6.6433E-1	1.0696E+0	-2.3500E+2
-6.6362E-1	1.0686E+0	-3.8900E+2
-6.6303E-1	1.0696E+0	1.5000E+1
-6.6244E-1	1.0689E+0	-2.9400E+2
-6.6186E-1	1.0652E+0	-2.3100E+2
-6.6115E-1	1.0686E+0	-7.5100E+2
-6.6044E-1	1.0665E+0	-6.8200E+2
-6.5985E-1	1.0662E+0	-6.8900E+2
-6.5927E-1	1.0682E+0	-3.4100E+2
-6.5856E-1	1.0660E+0	-3.7700E+2
-6.5785E-1	1.0652E+0	-3.6600E+2
-6.5727E-1	1.0650E+0	-2.6400E+2
-6.5668E-1	1.0657E+0	-3.5700E+2
-6.5597E-1	1.0662E+0	-5.0600E+2
-6.5538E-1	1.0650E+0	-9.6700E+2
-6.5468E-1	1.0633E+0	-4.9700E+2
-6.5409E-1	1.0623E+0	-9.4700E+2
-6.5338E-1	1.0626E+0	-5.3000E+1
-6.5280E-1	1.0618E+0	4.0400E+2
-6.5221E-1	1.0621E+0	-3.4900E+2
-6.5150E-1	1.0614E+0	-1.0900E+2
-6.5080E-1	1.0611E+0	-4.3500E+2
-6.5021E-1	1.0635E+0	-7.2900E+2
-6.4962E-1	1.0601E+0	-4.5300E+2
-6.4891E-1	1.0601E+0	-5.3200E+2
-6.4832E-1	1.0609E+0	-8.3300E+2
-6.4762E-1	1.0606E+0	-7.0500E+2
-6.4703E-1	1.0587E+0	-3.1600E+2
-6.4644E-1	1.0579E+0	-5.6000E+2
-6.4574E-1	1.0575E+0	-9.5000E+1
-6.4515E-1	1.0570E+0	-3.1400E+2
-6.4444E-1	1.0579E+0	-9.2900E+2
-6.4385E-1	1.0553E+0	-6.6500E+2
-6.4315E-1	1.0553E+0	-5.7800E+2
-6.4256E-1	1.0553E+0	2.9600E+2
-6.4197E-1	1.0560E+0	-3.7800E+2
-6.4127E-1	1.0543E+0	7.8000E+1
-6.4056E-1	1.0531E+0	-8.9700E+2
-6.3997E-1	1.0545E+0	-9.7000E+1
-6.3938E-1	1.0531E+0	4.3000E+1
-6.3868E-1	1.0516E+0	2.5100E+2
-6.3797E-1	1.0516E+0	-2.3500E+2
-6.3738E-1	1.0507E+0	-9.6000E+1
-6.3679E-1	1.0490E+0	-5.7100E+2
-6.3609E-1	1.0502E+0	-5.0000E+2
-6.3550E-1	1.0490E+0	7.7000E+1
-6.3491E-1	1.0470E+0	-5.1100E+2
-6.3421E-1	1.0475E+0	3.4800E+2
-6.3362E-1	1.0468E+0	4.2700E+2
-6.3291E-1	1.0451E+0	-8.9600E+2
-6.3232E-1	1.0465E+0	-5.3900E+2
-6.3174E-1	1.0446E+0	-4.1900E+2
-6.3103E-1	1.0426E+0	-4.8500E+2
-6.3032E-1	1.0414E+0	-4.9800E+2
-6.2974E-1	1.0424E+0	-3.6600E+2
-6.2915E-1	1.0409E+0	-3.0600E+2
-6.2844E-1	1.0409E+0	-1.5700E+2
-6.2773E-1	1.0407E+0	-4.8700E+2
-6.2715E-1	1.0392E+0	-3.6400E+2
-6.2656E-1	1.0373E+0	-3.5300E+2
-6.2585E-1	1.0380E+0	-5.8700E+2
-6.2526E-1	1.0371E+0	-4.4000E+1
-6.2456E-1	1.0356E+0	5.2000E+1
-6.2397E-1	1.0349E+0	-6.6700E+2
-6.2326E-1	1.0327E+0	-3.6200E+2
-6.2268E-1	1.0332E+0	-3.9300E+2
-6.2209E-1	1.0315E+0	-7.1600E+2
-6.2138E-1	1.0320E+0	-4.1000E+1
