Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.0512E-2	1.0334E+0	-6.4900E+2
-9.5710E-3	1.0349E+0	-3.1900E+2
-8.6298E-3	1.0334E+0	-5.5200E+2
-7.6885E-3	1.0337E+0	-3.3100E+2
-6.7473E-3	1.0341E+0	-3.7500E+2
-5.8060E-3	1.0327E+0	-2.1700E+2
-4.8648E-3	1.0339E+0	-4.0600E+2
-3.9235E-3	1.0337E+0	-7.7200E+2
-2.9823E-3	1.0341E+0	-1.7500E+2
-2.0410E-3	1.0332E+0	-9.3600E+2
-1.0998E-3	1.0337E+0	-6.2400E+2
-1.5853E-4	1.0344E+0	-5.6300E+2
7.8272E-4	1.0354E+0	-6.4400E+2
1.7240E-3	1.0327E+0	-6.6800E+2
2.6652E-3	1.0339E+0	-4.6100E+2
3.6065E-3	1.0332E+0	-3.8100E+2
4.5477E-3	1.0329E+0	-5.7000E+1
5.4890E-3	1.0337E+0	-6.9000E+2
6.4302E-3	1.0310E+0	-4.5500E+2
7.3714E-3	1.0337E+0	-3.2300E+2
8.4303E-3	1.0339E+0	-3.2000E+2
9.2539E-3	1.0320E+0	-3.0900E+2
1.0195E-2	1.0320E+0	-4.5300E+2
1.1136E-2	1.0337E+0	-1.0020E+3
1.2078E-2	1.0329E+0	1.9600E+2
1.3137E-2	1.0324E+0	-8.2900E+2
1.3960E-2	1.0324E+0	-5.7300E+2
1.4901E-2	1.0322E+0	-4.3600E+2
1.5843E-2	1.0324E+0	-8.9100E+2
1.6784E-2	1.0334E+0	-4.4600E+2
1.7725E-2	1.0320E+0	-4.9500E+2
1.8666E-2	1.0317E+0	-8.5200E+2
1.9608E-2	1.0303E+0	-4.5000E+2
2.0549E-2	1.0310E+0	-7.0800E+2
2.1490E-2	1.0310E+0	-1.6400E+2
2.2431E-2	1.0320E+0	-9.5000E+1
2.3373E-2	1.0312E+0	-5.9500E+2
2.4314E-2	1.0317E+0	-5.6200E+2
2.5255E-2	1.0303E+0	-7.2700E+2
2.6196E-2	1.0295E+0	-3.0800E+2
2.7138E-2	1.0295E+0	-2.7900E+2
2.8079E-2	1.0327E+0	-5.5300E+2
2.9020E-2	1.0298E+0	-1.1160E+3
2.9961E-2	1.0293E+0	6.7000E+1
3.0903E-2	1.0310E+0	-5.0200E+2
3.1844E-2	1.0300E+0	-5.3800E+2
3.2785E-2	1.0305E+0	-8.5400E+2
3.3726E-2	1.0293E+0	-6.5300E+2
3.4668E-2	1.0283E+0	-3.6600E+2
3.5609E-2	1.0300E+0	-4.6300E+2
3.6550E-2	1.0293E+0	-3.3500E+2
3.7491E-2	1.0303E+0	1.1600E+2
3.8433E-2	1.0293E+0	-6.8400E+2
3.9374E-2	1.0273E+0	-4.4800E+2
4.0315E-2	1.0271E+0	-8.1800E+2
4.1256E-2	1.0278E+0	-7.0300E+2
4.2080E-2	1.0283E+0	-7.1700E+2
4.3139E-2	1.0288E+0	-4.8700E+2
4.4080E-2	1.0269E+0	3.2000E+2
4.5021E-2	1.0281E+0	-7.5600E+2
4.5963E-2	1.0269E+0	-8.1700E+2
4.6786E-2	1.0261E+0	-1.6300E+2
4.7845E-2	1.0259E+0	-6.3700E+2
4.8786E-2	1.0256E+0	-1.0460E+3
4.9728E-2	1.0256E+0	-3.0600E+2
5.0669E-2	1.0256E+0	-9.1700E+2
5.1610E-2	1.0259E+0	-4.2200E+2
5.2551E-2	1.0256E+0	-4.6800E+2
5.3493E-2	1.0244E+0	-3.3100E+2
5.4434E-2	1.0244E+0	-4.7000E+1
5.5375E-2	1.0244E+0	-6.5500E+2
5.6316E-2	1.0239E+0	-5.7800E+2
5.7258E-2	1.0235E+0	-3.4000E+1
5.8199E-2	1.0230E+0	-7.0100E+2
5.9140E-2	1.0227E+0	1.2100E+2
6.0081E-2	1.0235E+0	-2.9000E+1
6.1023E-2	1.0213E+0	1.2400E+2
6.1964E-2	1.0232E+0	-3.2000E+1
6.2905E-2	1.0218E+0	-5.7000E+2
6.3846E-2	1.0230E+0	-5.0100E+2
6.4788E-2	1.0196E+0	-2.8000E+2
6.5729E-2	1.0205E+0	-2.0100E+2
6.6552E-2	1.0191E+0	-5.7900E+2
6.7611E-2	1.0184E+0	-8.0300E+2
6.8552E-2	1.0191E+0	-7.0200E+2
6.9494E-2	1.0191E+0	-5.6300E+2
7.0435E-2	1.0179E+0	-5.9600E+2
7.1259E-2	1.0159E+0	1.1200E+2
7.2317E-2	1.0157E+0	-2.3300E+2
7.3259E-2	1.0164E+0	-4.6300E+2
7.4200E-2	1.0159E+0	1.1900E+2
7.5141E-2	1.0157E+0	3.4300E+2
7.5965E-2	1.0130E+0	-1.0000E+0
7.7024E-2	1.0128E+0	-2.3100E+2
7.7965E-2	1.0123E+0	-6.8700E+2
7.8906E-2	1.0111E+0	-2.0700E+2
7.9847E-2	1.0098E+0	-7.4000E+2
8.0671E-2	1.0101E+0	6.0000E+1
8.1730E-2	1.0074E+0	-2.5600E+2
8.2671E-2	1.0084E+0	-2.1900E+2
8.3612E-2	1.0069E+0	-5.5200E+2
8.4554E-2	1.0050E+0	1.5700E+2
8.5377E-2	1.0055E+0	-6.0000E+1
8.6436E-2	1.0038E+0	-4.1300E+2
8.7377E-2	1.0021E+0	-3.3500E+2
8.8319E-2	1.0021E+0	-4.3100E+2
8.9260E-2	1.0006E+0	-2.4000E+1
